,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
0,,World,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,World,Europe,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,World,North_America,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,World,Middle_America_and_Caribbean,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,World,South_America,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,World,Africa,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,World,Asia,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,World,Oceania,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,North_America,Canada,,1,8,725,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
9,Canada,Canada_North,CND_NO,1,4,725,2,2,2,2,4,5,6,6,5,4,2,2,5,4,4,2,2,2,4,2,2,2,2
10,Canada,British_Columbia,CND_BC,1,8,725,2,2,2,3,4,5,6,6,5,4,2,2,5,6,6,3,4,5,6,4,5,5,5
11,Canada,Prairies,CND_PR,1,8,725,2,2,2,3,4,5,6,6,5,4,2,2,5,6,6,3,3,2,6,3,3,3,3
12,Canada,Ontario,CND_ON,1,8,725,2,2,3,4,5,6,6,6,6,5,3,2,5,6,6,2,3,5,3,4,3,4,4
13,Canada,Quebec,CND_QU,1,8,725,2,2,3,4,5,6,6,6,6,5,3,2,5,5,5,2,3,5,5,5,3,5,5
14,Canada,Atlantic_Provinces,CND_AT,1,4,725,2,2,3,4,5,6,6,6,6,5,3,2,5,6,4,3,5,4,4,4,5,3,4
15,North_America,Greenland,GRL,1,4,975,2,2,3,4,5,6,6,6,6,5,3,2,6,5,5,2,4,2,4,3,2,2,2
16,North_America,USA,,1,12,600,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
17,USA,Alaska,USA_AL,1,12,975,2,2,2,2,4,5,6,6,5,4,2,2,5,6,5,2,3,3,4,3,4,2,2
18,USA,Pacific_Northwest,USA_PN,1,12,600,3,3,3,4,5,6,6,6,6,5,4,3,5,6,5,4,3,4,5,4,4,5,4
19,USA,California,USA_CA,1,12,600,4,4,5,6,6,5,5,5,6,6,5,4,4,5,5,6,5,6,3,5,4,6,6
20,USA,USA_Southwest,USA_SW,1,12,600,4,4,5,6,6,5,4,4,6,6,5,4,5,6,5,2,3,3,2,3,3,3,2
21,USA,Rocky_Mountains,USA_RM,1,12,600,3,3,3,4,5,6,6,6,6,5,4,3,5,5,6,2,2,3,6,3,3,3,2
22,USA,Great_Plains,USA_GP,1,12,600,2,3,3,4,5,6,5,5,6,5,3,2,5,4,2,2,2,2,2,3,3,2,2
23,USA,Texas,USA_TX,1,8,600,3,4,5,6,6,5,4,4,6,5,4,3,5,3,3,4,4,4,3,5,4,4,4
24,USA,Midwest,USA_MW,1,12,600,2,2,3,4,5,6,5,5,6,5,3,2,5,4,2,3,3,6,2,5,5,6,5
25,USA,USA_South,USA_SO,1,12,600,4,4,5,6,6,5,4,4,6,6,5,4,5,5,3,5,6,6,2,5,6,4,4
26,USA,Florida,USA_FL,1,8,600,6,6,6,5,4,3,2,2,3,4,6,6,5,5,3,6,6,6,2,5,5,5,4
27,USA,Mid-Atlantic,USA_MA,1,12,600,2,2,3,4,5,6,6,6,6,5,3,2,4,4,3,3,3,6,4,5,4,6,6
28,USA,New_England,USA_NE,1,12,600,2,2,3,4,5,6,6,6,6,6,3,2,5,5,5,3,4,4,4,5,5,5,3
29,USA,Hawaii,USA_HA,1,8,600,5,5,6,6,6,6,6,6,6,6,6,5,4,5,4,6,6,4,2,4,5,3,3
30,North_America,Mexico,,1,4,375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
31,Mexico,Baja_California,MEX_BC,2,8,375,6,6,5,5,4,2,2,2,3,4,5,6,4,5,3,6,6,4,2,3,4,2,2
32,Mexico,Northern_Mexico,MEX_NO,1,2,375,6,6,5,5,4,2,2,2,3,4,5,6,4,4,4,2,2,2,2,3,3,2,2
33,Mexico,Bajio_and_Central_Mexico,MEX_BA,1,4,375,6,6,5,5,4,2,2,2,3,4,5,6,4,5,4,2,2,4,2,5,4,5,5
34,Mexico,Pacific_Coast,MEX_PC,1,4,375,6,6,6,5,5,3,2,2,2,4,5,6,4,4,3,4,4,3,2,4,4,3,3
35,Mexico,Yucatan,MEX_YU,1,4,415,6,6,6,5,5,3,2,2,2,4,5,6,4,4,3,5,5,3,2,6,5,4,3
36,Middle_America_and_Caribbean,Middle_America,,2,6,400,6,6,6,5,5,4,3,3,3,4,5,6,4,4,4,4,4,4,4,4,4,4,4
37,Middle_America,Guatemala_and_Belize,GTM,1,2,250,6,6,6,5,4,3,2,2,2,4,5,6,3,4,3,4,3,3,2,6,4,3,3
38,Middle_America,Honduras_and_El_Salvador,HND,1,2,250,6,6,6,5,4,3,2,2,2,4,5,6,3,4,4,5,5,3,2,5,4,3,3
39,Middle_America,Nicaragua,NIC,1,2,250,6,6,6,5,4,3,2,2,2,4,5,6,3,4,3,4,4,3,2,4,4,3,3
40,Middle_America,Costa_Rica,CRI,2,6,400,6,6,6,5,4,3,3,3,3,4,5,6,4,6,5,5,5,3,2,4,4,3,3
41,Middle_America,Panama,PAN,2,6,400,6,6,6,5,4,3,3,3,3,4,5,6,4,5,5,5,4,3,2,4,4,5,3
42,Middle_America_and_Caribbean,Caribbean,,2,8,400,6,6,6,6,5,4,3,3,3,3,5,6,4,4,4,4,4,4,4,4,4,4,4
43,Caribbean,Bahamas_Turks_and_Caicos_Islands,BHS,1,4,725,6,6,6,5,4,3,2,2,3,4,6,6,4,3,2,6,6,5,2,4,3,2,3
44,Caribbean,Cuba,CUB,1,4,350,6,6,6,6,5,4,3,2,2,3,5,6,5,4,3,4,3,4,2,6,2,5,3
45,Caribbean,Greater_Antilles_without_Cuba,HTI,2,8,575,6,6,6,6,5,4,3,2,2,3,5,6,4,4,4,6,5,4,2,5,3,3,3
46,Caribbean,Lesser_Antilles,AIA,2,8,575,6,6,6,6,5,4,3,2,2,3,5,6,4,4,2,6,6,5,2,4,4,2,3
47,South_America,Venezuela,VEN,1,8,390,6,6,6,6,5,4,3,3,3,4,5,6,3,6,3,5,4,3,2,4,4,4,4
48,South_America,Guianas,GUY,1,8,525,4,5,6,5,3,3,3,4,6,6,6,4,3,5,3,4,3,2,2,3,5,2,2
49,South_America,Colombia,COL,2,12,350,6,6,6,4,3,3,5,5,3,3,4,6,4,5,4,5,4,5,3,5,4,4,4
50,South_America,Ecuador,ECU,1,8,350,3,3,3,4,4,5,6,6,6,4,3,3,4,5,5,4,4,3,2,4,4,4,4
51,South_America,Peru,PER,2,12,350,3,3,3,4,5,6,6,6,5,4,3,3,3,6,5,3,3,3,2,6,5,3,4
52,South_America,Bolivia,BOL,1,8,310,2,2,3,5,6,6,6,6,6,5,3,2,4,5,5,2,2,3,2,5,4,3,4
53,South_America,Brazil,,1,4,625,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
54,Brazil,Brazil_North,BRA_NO,1,4,625,3,3,3,3,4,6,6,6,6,5,4,3,3,4,3,3,2,2,2,3,4,3,3
55,Brazil,Brazil_Northeast,BRA_NE,1,4,625,5,4,3,2,2,2,3,5,6,6,6,6,3,4,3,5,5,4,2,5,4,4,4
56,Brazil,Brazil_Central_West,BRA_CW,1,4,625,3,3,3,4,5,6,6,6,5,4,3,3,3,5,4,2,3,3,2,4,4,3,3
57,Brazil,Brazil_Southeast,BRA_SE,1,4,625,3,3,4,5,6,6,6,6,5,4,3,3,3,4,3,5,4,4,2,6,4,6,5
58,Brazil,Brazil_South,BRA_SO,1,4,625,6,6,6,5,5,4,4,4,5,5,6,6,3,3,3,4,3,4,2,4,4,3,3
59,South_America,Chile_North_and_Central,CHL_NC,2,12,400,5,6,6,6,5,4,4,4,6,6,6,5,5,5,4,2,3,4,2,5,4,4,4
60,South_America,Paraguay,PRY,1,4,400,4,4,4,5,6,6,6,6,6,5,4,4,5,4,3,2,2,3,2,4,4,3,4
61,South_America,Uruguay,URY,1,4,400,6,6,5,5,4,4,4,4,4,5,6,6,5,4,3,4,3,4,2,4,4,4,4
62,South_America,Argentina,,1,4,400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
