Parent-Region,Region,SQL unique_name,time to 75% daily utility in weeks,time to 25% daily utility in weeks,Aver. cost per week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,Safety from crime,nature & wildlife,hiking,beach,watersports,entertainment,wintersports,culture,culinary,cities & architecture,shopping,Reference,Note
,World,,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
World,Europe,EU,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
World,North America,NA,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
World,Middle America and Caribbean,MA,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
World,South America,SA,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
World,Africa,AF,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
World,Asia,AS,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
World,Oceania,OC,1,4,400,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,,
North America,Canada,,1,8,725,o,o,o,o,o,o,o,o,o,o,o,o,+,o,o,o,o,o,o,o,o,o,o,http://wikitravel.org/en/Canada#Regions,
Canada,Canada North,CND_NO,1,4,725,--,--,--,--,o,+,++,++,+,o,--,--,+,o,o,--,--,--,o,--,--,--,--,,
Canada,Canada British Columbia,CND_BC,1,8,725,--,--,--,-,o,+,++,++,+,o,--,--,+,++,++,-,o,+,++,o,+,+,+,,
Canada,Canada Prairies,CND_PR,1,8,725,--,--,--,-,o,+,++,++,+,o,--,--,+,++,++,-,-,--,++,-,-,-,-,,
Canada,Canada Ontario,CND_ON,1,8,725,--,--,-,o,+,++,++,++,++,+,-,--,+,++,++,--,-,+,-,o,-,o,o,,
Canada,Canada Quebec,CND_QU,1,8,725,--,--,-,o,+,++,++,++,++,+,-,--,+,+,+,--,-,+,+,+,-,+,+,,
Canada,Canada Atlantic Provinces,CND_AT,1,4,725,--,--,-,o,+,++,++,++,++,+,-,--,+,++,o,-,+,o,o,o,+,-,o,,
North America,Greenland,GRL,1,4,975,--,--,-,o,+,++,++,++,++,+,-,--,++,+,+,--,o,--,o,-,--,--,--,,
North America,USA,,1,12,600,o,o,o,o,o,o,o,o,o,o,o,o,+,o,o,o,o,o,o,o,o,o,o,http://wikitravel.org/en/Usa#Regions,
USA,USA Alaska,USA_AL,1,12,975,--,--,--,--,o,+,++,++,+,o,--,--,+,++,+,--,-,-,o,-,o,--,--,,
USA,USA Pacific Northwest,USA_PN,1,12,600,-,-,-,o,+,++,++,++,++,+,o,-,+,++,+,o,-,o,+,o,o,+,o,,
USA,USA California,USA_CA,1,12,600,o,o,+,++,++,+,+,+,++,++,+,o,o,+,+,++,+,++,-,+,o,++,++,,
USA,USA Southwest,USA_SW,1,12,600,o,o,+,++,++,+,o,o,++,++,+,o,+,++,+,--,-,-,--,-,-,-,--,,
USA,USA Rocky Mountains,USA_RM,1,12,600,-,-,-,o,+,++,++,++,++,+,o,-,+,+,++,--,--,-,++,-,-,-,--,,
USA,USA Great Plains,USA_GP,1,12,600,--,-,-,o,+,++,+,+,++,+,-,--,+,o,--,--,--,--,--,-,-,--,--,,
USA,USA Texas,USA_TX,1,8,600,-,o,+,++,++,+,o,o,++,+,o,-,+,-,-,o,o,o,-,+,o,o,o,,
